20
33
7 3 9 3 4 4 3 5 6 5 7 8 4 8 8 5 3 5 5 
0 538 565 338 380 178 603 220 171 104 368 152 109 570 445 467 129 339 185 215 
538 0 220 451 216 369 119 354 414 439 170 561 453 81 93 214 447 199 384 549 
565 220 0 341 188 388 333 453 401 490 263 528 515 148 234 98 520 281 381 652 
338 451 341 0 236 234 563 381 186 324 332 229 357 430 385 262 377 317 197 519 
380 216 188 236 0 201 326 273 223 301 118 363 326 209 151 92 332 119 199 468 
178 369 388 234 201 0 449 149 63 107 201 202 137 393 277 290 151 173 38 296 
603 119 333 563 326 449 0 396 501 500 251 649 506 185 181 333 495 277 470 571 
220 354 453 381 273 149 396 0 209 118 199 319 113 406 265 365 99 174 187 201 
171 414 401 186 223 63 501 209 0 138 251 148 171 427 325 302 190 224 31 332 
104 439 490 324 301 107 500 118 138 0 271 208 33 477 346 393 53 242 133 194 
368 170 263 332 118 201 251 199 251 271 0 398 286 209 76 189 283 29 220 400 
152 561 528 229 363 202 649 319 148 208 398 0 232 571 473 432 256 371 178 366 
109 453 515 357 326 137 506 113 171 33 286 232 0 494 360 419 23 258 165 161 
570 81 148 430 209 393 185 406 427 477 209 571 494 0 143 172 492 236 400 606 
445 93 234 385 151 277 181 265 325 346 76 473 360 143 0 187 355 106 294 463 
467 214 98 262 92 290 333 365 302 393 189 432 419 172 187 0 425 200 282 561 
129 447 520 377 332 151 495 99 190 53 283 256 23 492 355 425 0 256 182 145 
339 199 281 317 119 173 277 174 224 242 29 371 258 236 106 200 256 0 193 376 
185 384 381 197 199 38 470 187 31 133 220 178 165 400 294 282 182 193 0 326 
215 549 652 519 468 296 571 201 332 194 400 366 161 606 463 561 145 376 326 0 
