15
33
7 8 8 7 8 4 3 4 8 7 3 3 6 5 
0 518 314 368 357 170 149 451 346 222 270 433 389 495 278 
518 0 346 443 486 601 619 489 456 297 296 92 539 25 570 
314 346 0 514 533 470 338 595 114 189 89 258 199 321 529 
368 443 514 0 47 301 517 86 608 324 425 413 682 434 182 
357 486 533 47 0 271 505 98 622 344 446 451 692 475 141 
170 601 470 301 271 0 279 368 515 332 410 529 559 581 144 
149 619 338 517 505 279 0 600 319 328 334 528 329 594 412 
451 489 595 86 98 368 600 0 692 406 506 473 766 483 233 
346 456 114 608 622 515 319 692 0 288 198 370 84 432 597 
222 297 189 324 344 332 328 406 288 0 102 211 366 273 355 
270 296 89 425 446 410 334 506 198 102 0 203 281 270 452 
433 92 258 413 451 529 528 473 370 211 203 0 454 66 516 
389 539 199 682 692 559 329 766 84 366 281 454 0 515 655 
495 25 321 434 475 581 594 483 432 273 270 66 515 0 555 
278 570 529 182 141 144 412 233 597 355 452 516 655 555 0 
