25
33
9 6 6 5 8 6 8 6 8 4 7 7 5 6 3 4 5 7 9 3 9 7 5 8 
0 223 200 370 309 248 246 114 308 284 244 333 198 240 213 150 294 212 132 349 98 304 338 285 226 
223 0 135 517 260 367 469 185 519 478 386 226 88 456 222 372 120 63 259 540 277 500 521 447 159 
200 135 0 559 375 420 432 235 440 484 428 135 46 436 88 340 255 73 161 442 202 406 417 478 31 
370 517 559 0 362 152 298 334 464 147 132 695 541 240 583 299 503 543 489 552 436 512 564 86 589 
309 260 375 362 0 226 475 194 596 400 262 486 334 432 448 396 177 317 425 652 406 606 645 328 406 
248 367 420 152 226 0 286 187 438 179 38 555 397 233 457 238 352 397 379 514 333 469 517 102 451 
246 469 432 298 475 286 0 315 166 151 252 553 440 58 410 96 524 458 294 255 238 218 270 227 452 
114 185 235 334 194 187 315 0 411 296 202 368 210 288 284 223 210 209 236 461 212 415 452 262 267 
308 519 440 464 596 438 166 411 0 317 408 534 464 224 386 204 603 488 279 92 243 67 114 392 449 
284 478 484 147 400 179 151 296 317 0 140 617 477 94 488 171 498 487 381 406 324 367 419 88 510 
244 386 428 132 262 38 252 202 408 140 0 563 408 197 457 212 380 410 371 487 322 443 492 68 458 
333 226 135 695 486 555 553 368 534 617 563 0 160 564 148 466 335 169 263 515 316 488 486 614 107 
198 88 46 541 334 397 440 210 464 477 408 160 0 438 134 345 208 28 190 474 221 436 451 463 73 
240 456 436 240 432 233 58 288 224 94 197 564 438 0 426 97 498 452 313 312 255 273 325 169 459 
213 222 88 583 448 457 410 284 386 488 457 148 134 426 0 328 341 161 116 374 172 343 347 498 75 
150 372 340 299 396 238 96 223 204 171 212 466 345 97 328 0 430 362 215 276 157 231 279 215 362 
294 120 255 503 177 352 524 210 603 498 380 335 208 498 341 430 0 183 365 636 371 593 620 448 279 
212 63 73 543 317 397 458 209 488 487 410 169 28 452 161 362 183 0 216 500 245 462 478 468 96 
132 259 161 489 425 379 294 236 279 381 371 263 190 313 116 215 365 216 0 284 58 246 262 403 170 
349 540 442 552 652 514 255 461 92 406 487 515 474 312 374 276 636 500 284 0 265 46 33 477 444 
98 277 202 436 406 333 238 212 243 324 322 316 221 255 172 157 371 245 58 265 0 223 249 349 217 
304 500 406 512 606 469 218 415 67 367 443 488 436 273 343 231 593 462 246 46 223 0 52 436 411 
338 521 417 564 645 517 270 452 114 419 492 486 451 325 347 279 620 478 262 33 249 52 0 487 419 
285 447 478 86 328 102 227 262 392 88 68 614 463 169 498 215 448 468 403 477 349 436 487 0 507 
226 159 31 589 406 451 452 267 449 510 458 107 73 459 75 362 279 96 170 444 217 411 419 507 0 
