35
30
6 9 13 12 9 12 11 10 6 13 9 12 8 8 12 12 14 9 9 11 5 11 10 13 10 13 8 13 8 14 9 11 8 7 
0 138 346 318 500 242 269 244 439 415 416 288 494 88 467 280 312 263 309 149 476 365 102 602 150 206 121 498 512 120 372 234 310 279 192 
138 0 430 449 626 298 284 188 574 485 536 312 500 207 557 238 408 393 315 38 535 500 220 710 280 343 259 624 552 49 448 363 333 417 329 
346 430 0 227 286 141 207 342 326 78 192 182 281 388 127 319 53 209 219 408 148 442 394 298 378 272 316 287 214 382 34 202 179 339 276 
318 449 227 0 187 282 365 456 130 298 125 355 505 302 268 458 177 56 396 446 364 222 300 323 250 123 215 184 439 414 259 87 363 134 137 
500 626 286 187 0 402 482 600 125 320 98 462 551 489 234 589 261 238 502 618 366 342 487 169 435 310 402 4 447 587 304 265 462 297 325 
242 298 141 282 402 0 83 202 407 187 304 74 266 307 268 187 142 238 114 272 239 458 317 438 324 261 260 402 269 248 153 214 89 348 258 
269 284 207 365 482 83 0 141 490 229 383 30 225 347 325 112 220 319 41 251 263 533 359 504 379 334 317 482 268 236 208 293 50 424 329 
244 188 342 456 600 202 141 0 587 371 502 171 324 332 464 51 344 403 154 150 403 582 346 640 388 390 339 599 399 151 347 373 187 479 380 
439 574 326 130 125 407 490 587 0 382 149 477 606 408 320 587 284 185 518 574 441 218 403 295 344 234 326 121 521 542 353 216 483 192 248 
415 485 78 298 320 187 229 371 382 0 238 200 230 462 105 338 131 286 227 459 69 517 470 288 456 351 394 322 141 436 45 280 187 416 355 
416 536 192 125 98 304 383 502 149 238 0 364 466 416 171 491 163 162 404 526 293 330 416 198 372 243 329 98 373 495 214 185 365 257 256 
288 312 182 355 462 74 30 171 477 200 364 0 206 363 297 139 201 312 41 280 233 532 374 477 389 335 326 462 240 263 180 288 22 423 331 
494 500 281 505 551 266 225 324 606 230 466 206 0 569 327 273 328 477 188 465 197 709 580 499 591 519 527 553 131 454 253 460 184 601 519 
88 207 388 302 489 307 347 332 408 462 416 363 569 0 498 367 345 254 388 227 527 296 14 611 75 179 87 486 573 202 418 231 384 227 164 
467 557 127 268 234 268 325 464 320 105 171 297 327 498 0 437 154 277 329 536 133 489 503 183 476 355 419 236 214 509 117 283 288 400 363 
280 238 319 458 589 187 112 51 587 338 491 139 273 367 437 0 329 408 113 200 364 601 381 616 417 405 364 589 354 199 320 379 151 495 396 
312 408 53 177 261 142 220 344 284 131 163 201 328 345 154 329 0 156 241 391 200 390 351 304 330 220 269 262 267 362 87 149 203 286 225 
263 393 209 56 238 238 319 403 185 286 162 312 477 254 277 408 156 0 353 390 355 234 253 360 210 81 166 235 424 358 243 31 323 129 93 
309 315 219 396 502 114 41 154 518 227 404 41 188 388 329 113 241 353 0 281 251 571 400 511 420 372 358 502 245 268 214 328 41 461 368 
149 38 408 446 618 272 251 150 574 459 526 280 465 227 536 200 391 390 281 0 507 514 241 695 297 347 269 617 520 32 425 359 301 426 334 
476 535 148 364 366 239 263 403 441 69 293 233 197 527 133 364 200 355 251 507 0 585 535 302 524 420 461 368 81 485 114 350 215 485 425 
365 500 442 222 342 458 533 582 218 517 330 532 709 296 489 601 390 234 571 514 585 0 285 508 221 198 247 338 657 485 476 249 547 109 205 
102 220 394 300 487 317 359 346 403 470 416 374 580 14 503 381 351 253 400 241 535 285 0 612 65 176 87 484 582 216 425 232 395 220 162 
602 710 298 323 169 438 504 640 295 288 198 477 499 611 183 616 304 360 511 695 302 508 612 0 570 441 525 174 374 665 297 380 470 451 454 
150 280 378 250 435 324 379 388 344 456 372 389 591 75 476 417 330 210 420 297 524 221 65 570 0 128 64 432 578 270 410 194 409 157 116 
206 343 272 123 310 261 334 390 234 351 243 335 519 179 355 405 220 81 372 347 420 198 176 441 128 0 93 307 483 316 306 72 350 90 14 
121 259 316 215 402 260 317 339 326 394 329 326 527 87 419 364 269 166 358 269 461 247 87 525 64 93 0 399 514 239 348 145 346 157 78 
498 624 287 184 4 402 482 599 121 322 98 462 553 486 236 589 262 235 502 617 368 338 484 174 432 307 399 0 449 585 305 263 463 294 322 
512 552 214 439 447 269 268 399 521 141 373 240 131 573 214 354 267 424 245 520 81 657 582 374 578 483 514 449 0 503 180 415 218 554 486 
120 49 382 414 587 248 236 151 542 436 495 263 454 202 509 199 362 358 268 32 485 485 216 665 270 316 239 585 503 0 400 327 285 395 302 
372 448 34 259 304 153 208 347 353 45 214 180 253 418 117 320 87 243 214 425 114 476 425 297 410 306 348 305 180 400 0 236 173 373 310 
234 363 202 87 265 214 293 373 216 280 185 288 460 231 283 379 149 31 328 359 350 249 232 380 194 72 145 263 415 327 236 0 301 140 80 
310 333 179 363 462 89 50 187 483 187 365 22 184 384 288 151 203 323 41 301 215 547 395 470 409 350 346 463 218 285 173 301 0 437 347 
279 417 339 134 297 348 424 479 192 416 257 423 601 227 400 495 286 129 461 426 485 109 220 451 157 90 157 294 554 395 373 140 437 0 99 
192 329 276 137 325 258 329 380 248 355 256 331 519 164 363 396 225 93 368 334 425 205 162 454 116 14 78 322 486 302 310 80 347 99 0 
