45
30
6 7 5 10 11 5 14 6 13 9 5 7 6 10 5 5 5 10 6 11 13 9 9 9 14 14 7 10 13 10 7 14 14 9 9 12 11 11 13 10 7 13 14 9 
0 351 510 373 423 306 131 42 316 442 561 429 310 250 514 365 546 310 502 269 303 462 148 225 401 475 384 644 671 311 224 227 207 79 177 556 502 288 381 253 439 636 196 138 331 
351 0 324 156 149 106 282 382 86 101 391 91 45 170 356 25 387 80 302 170 268 210 225 206 312 303 151 387 457 191 146 166 398 361 207 204 283 171 500 128 267 397 232 217 487 
510 324 0 174 462 422 521 552 405 372 67 374 315 466 42 301 65 273 25 474 215 122 368 286 132 35 474 157 161 203 418 449 402 465 463 344 52 482 374 419 71 135 314 436 403 
373 156 174 0 304 248 357 413 232 228 241 226 141 292 202 137 234 98 156 300 150 89 225 154 161 149 307 276 324 78 245 275 331 348 294 258 144 307 384 245 112 274 188 274 386 
423 149 462 304 0 118 314 443 113 101 529 93 183 178 498 166 527 227 439 162 414 343 333 340 462 445 46 497 580 339 201 196 521 457 248 221 417 147 641 171 412 514 360 287 623 
306 106 422 248 118 0 206 328 20 151 489 138 107 73 451 131 483 153 401 67 325 314 217 238 390 398 87 493 561 259 82 83 408 338 134 282 384 65 539 53 360 502 252 168 515 
131 282 521 357 314 206 0 135 222 355 581 342 250 137 535 302 569 270 507 153 343 444 166 244 437 488 271 633 679 318 136 123 314 198 75 482 500 169 482 158 449 632 230 85 439 
42 382 552 413 443 328 135 0 340 470 604 457 342 266 556 398 589 346 544 284 346 502 188 267 444 517 402 686 713 352 248 246 240 113 195 587 544 302 414 275 481 677 238 165 362 
316 86 405 232 113 20 222 340 0 134 472 120 92 92 434 111 466 138 384 87 316 295 219 232 377 381 89 473 543 247 92 98 408 345 148 263 366 85 534 65 344 483 250 178 513 
442 101 372 228 101 151 355 470 134 0 437 13 146 225 410 102 438 177 348 216 360 250 324 306 390 359 133 396 481 281 222 232 499 459 281 132 324 208 595 197 329 414 333 305 586 
561 391 67 241 529 489 581 604 472 437 0 440 382 532 47 368 19 339 90 540 259 187 424 341 165 93 541 157 118 262 483 514 434 511 526 401 113 548 380 485 133 124 366 496 416 
429 91 374 226 93 138 342 457 120 13 440 0 136 211 411 96 439 169 350 202 354 253 313 297 387 360 122 403 487 276 209 219 489 447 268 145 326 194 589 184 329 420 324 292 578 
310 45 315 141 183 107 250 342 92 146 382 136 0 155 343 55 376 46 295 160 231 211 180 162 286 290 174 396 458 158 118 144 353 316 177 246 279 167 459 109 253 402 187 179 444 
250 170 466 292 178 73 137 266 92 225 532 211 155 0 490 194 524 193 448 19 337 367 195 240 415 439 135 552 614 283 55 28 383 295 72 355 434 39 530 47 400 558 244 122 499 
514 356 42 202 498 451 535 556 434 410 47 411 343 490 0 334 34 299 67 500 212 161 377 294 118 53 507 183 163 216 440 471 390 464 482 387 94 509 346 444 90 155 319 450 378 
365 25 301 137 166 131 302 398 111 102 368 96 55 194 334 0 365 74 279 194 258 186 233 205 296 281 173 362 432 180 167 189 399 370 227 191 259 196 493 151 246 372 234 234 483 
546 387 65 234 527 483 569 589 466 438 19 439 376 524 34 365 0 332 89 533 243 187 411 328 148 85 538 174 137 250 474 505 416 495 516 407 116 542 361 477 124 142 352 484 397 
310 80 273 98 227 153 270 346 138 177 339 169 46 193 299 74 332 0 254 201 188 177 168 130 239 246 221 365 421 112 148 178 325 305 201 257 241 209 420 146 208 368 160 191 408 
502 302 25 156 439 401 507 544 384 348 90 350 295 448 67 279 89 254 0 455 213 97 359 277 139 39 451 151 171 193 401 431 404 461 448 320 27 462 387 401 64 135 306 422 413 
269 170 474 300 162 67 153 284 87 216 540 202 160 19 500 194 533 201 455 0 352 372 213 256 428 448 118 555 619 296 72 47 402 315 92 347 440 19 548 57 409 562 262 141 518 
303 268 215 150 414 325 343 346 316 360 259 354 231 337 212 258 243 188 213 352 0 213 177 100 98 179 403 364 373 79 281 311 194 251 305 408 222 366 236 296 150 348 114 261 236 
462 210 122 89 343 314 444 502 295 250 187 253 211 367 161 186 187 177 97 372 213 0 314 241 180 113 357 188 247 158 325 354 405 435 378 232 74 377 429 321 95 190 274 362 442 
148 225 368 225 333 217 166 188 219 324 424 313 180 195 377 233 411 168 359 213 177 314 0 83 273 334 304 498 529 166 143 166 190 137 140 423 356 232 336 169 297 490 63 89 304 
