30
33
3 9 9 7 9 5 6 3 3 3 7 9 7 6 7 4 6 8 6 6 4 7 3 9 7 5 5 7 7 
0 349 161 40 279 418 295 570 68 382 435 224 277 221 466 408 377 246 316 171 397 217 160 110 95 304 389 401 198 233 
349 0 450 356 182 242 332 300 372 282 102 128 88 138 317 215 201 322 194 518 211 149 233 324 268 346 86 317 467 274 
161 450 0 196 316 568 248 598 96 370 547 322 364 312 621 554 402 206 342 198 543 301 312 126 246 250 509 376 39 393 
40 356 196 0 305 400 333 592 107 414 435 236 291 236 443 392 404 285 343 163 381 235 146 150 89 343 387 435 234 206 
279 182 316 305 0 400 150 292 267 130 282 120 105 106 473 375 98 146 39 444 369 94 255 201 243 164 266 162 321 340 
418 242 568 400 400 0 540 524 472 518 201 292 295 308 74 28 442 514 424 548 31 324 258 456 324 554 167 553 598 205 
295 332 248 333 150 540 0 368 250 128 432 248 251 232 610 517 189 49 148 427 509 216 348 186 309 14 415 128 235 442 
570 300 598 592 292 524 368 0 560 241 325 367 315 362 595 496 197 398 259 737 496 359 509 492 519 374 357 254 595 568 
68 372 96 107 267 472 250 560 0 352 466 244 291 236 525 460 363 201 301 181 449 228 216 69 150 257 424 367 131 296 
382 282 370 414 130 518 128 241 352 0 370 250 225 236 592 492 87 164 96 534 487 224 384 283 365 133 368 34 361 470 
435 102 547 435 282 201 432 325 466 370 0 224 190 236 270 174 283 424 289 598 177 249 298 421 346 446 52 404 566 310 
224 128 322 236 120 292 248 367 244 250 224 0 54 16 361 270 200 223 155 395 261 32 144 197 154 263 189 282 342 221 
277 88 364 291 105 295 251 315 291 225 190 54 0 56 369 270 161 236 129 448 264 63 194 238 209 265 165 259 379 261 
221 138 312 236 106 308 232 362 236 236 236 16 56 0 378 286 189 207 142 392 278 16 153 186 157 246 203 268 330 234 
466 317 621 443 473 74 610 595 525 592 270 361 369 378 0 102 517 583 497 581 105 394 309 515 375 624 240 627 653 238 
408 215 554 392 375 28 517 496 460 492 174 270 270 286 102 0 415 493 398 545 12 302 248 440 313 531 139 527 583 205 
377 201 402 404 98 442 189 197 363 87 283 200 161 189 517 415 0 208 62 541 411 181 343 295 339 198 286 120 402 420 
246 322 206 285 146 514 49 398 201 164 424 223 236 207 583 493 208 0 157 379 485 191 308 137 264 58 401 171 197 402 
316 194 342 343 39 424 148 259 301 96 289 155 129 142 497 398 62 157 0 479 392 130 293 233 282 161 280 130 344 376 
171 518 198 163 444 548 427 737 181 534 598 395 448 392 581 545 541 379 479 0 533 388 305 250 252 432 550 547 233 345 
397 211 543 381 369 31 509 496 449 487 177 261 264 278 105 12 411 485 392 533 0 294 236 429 302 524 139 521 572 193 
217 149 301 235 94 324 216 359 228 224 249 32 63 16 394 302 181 191 130 388 294 0 162 175 160 230 217 255 317 246 
160 233 312 146 255 258 348 509 216 384 298 144 194 153 309 248 343 308 293 305 236 162 0 211 66 361 247 414 344 94 
110 324 126 150 201 456 186 492 69 283 421 197 238 186 515 440 295 137 233 250 429 175 211 0 152 194 384 298 146 302 
95 268 246 89 243 324 309 519 150 365 346 154 209 157 375 313 339 264 282 252 302 160 66 152 0 321 298 391 279 150 
304 346 250 343 164 554 14 374 257 133 446 263 265 246 624 531 198 58 161 432 524 230 361 194 321 0 429 129 235 455 
389 86 509 387 266 167 415 357 424 368 52 189 165 203 240 139 286 401 280 550 139 217 247 384 298 429 0 403 530 257 
401 317 376 435 162 553 128 254 367 34 404 282 259 268 627 527 120 171 130 547 521 255 414 298 391 129 403 0 364 501 
198 467 39 234 321 598 235 595 131 361 566 342 379 330 653 583 402 197 344 233 572 317 344 146 279 235 530 364 0 428 
233 274 393 206 340 205 442 568 296 470 310 221 261 234 238 205 420 402 376 345 193 246 94 302 150 455 257 501 428 0 
