15
30
14 13 13 8 12 5 13 10 12 11 8 8 9 13 
0 49 233 378 113 170 329 297 379 302 290 602 538 617 136 
49 0 220 339 131 203 288 253 330 258 247 573 489 567 97 
233 220 0 230 148 203 437 386 346 211 195 384 536 579 289 
378 339 230 0 349 422 386 333 188 93 97 270 360 374 342 
113 131 148 349 0 84 414 373 406 295 280 533 584 649 228 
170 203 203 422 84 0 491 453 490 376 361 580 669 733 300 
329 288 437 386 414 491 0 54 228 300 305 655 271 374 192 
297 253 386 333 373 453 54 0 185 245 250 602 264 361 162 
379 330 346 188 406 490 228 185 0 138 153 441 189 243 279 
302 258 211 93 295 376 300 245 138 0 15 361 327 368 250 
290 247 195 97 280 361 305 250 153 15 0 361 342 384 245 
602 573 384 270 533 580 655 602 441 361 361 0 574 544 600 
538 489 536 360 584 669 271 264 189 327 342 574 0 106 415 
617 567 579 374 649 733 374 361 243 368 384 544 106 0 502 
136 97 289 342 228 300 192 162 279 250 245 600 415 502 0 
