50
30
14 9 9 10 6 6 7 12 14 7 11 5 7 12 5 12 9 9 6 10 14 6 12 13 11 5 7 13 9 7 8 10 14 14 8 5 6 12 14 7 14 11 7 6 8 8 5 14 14 
0 149 258 421 590 385 227 56 563 314 520 193 564 6 96 281 471 146 612 236 137 524 184 493 136 334 515 56 112 96 99 506 96 304 472 324 627 404 369 56 65 487 370 120 111 362 312 389 404 119 
149 0 379 556 630 511 363 198 592 393 612 341 592 152 152 426 405 109 669 304 77 567 334 610 285 268 504 201 100 169 127 549 73 289 448 338 678 539 294 202 186 459 518 75 208 445 439 317 440 47 
258 379 0 184 410 132 64 204 406 129 275 145 408 261 229 129 495 300 404 143 321 349 184 234 207 398 435 248 371 211 356 333 306 303 423 263 425 168 433 206 199 440 207 376 171 149 63 443 270 333 
421 556 184 0 465 67 194 365 482 265 253 245 485 422 410 157 658 484 425 319 503 419 277 129 323 576 562 394 531 392 511 408 484 474 566 423 452 17 610 365 370 583 128 542 351 246 121 617 391 512 
590 630 410 465 0 407 474 552 56 291 229 554 59 595 505 529 406 520 82 354 553 65 591 364 603 437 218 611 680 497 681 84 571 353 272 292 68 460 447 560 527 278 572 672 479 261 420 435 190 587 
385 511 132 67 407 0 160 329 421 198 209 229 424 387 361 155 591 432 375 256 453 358 265 115 305 512 495 365 497 343 480 346 438 409 498 356 401 56 545 330 329 515 167 505 303 179 73 552 324 465 
227 363 64 194 474 160 0 171 469 189 333 82 471 228 222 82 533 299 467 183 314 413 121 274 150 424 490 204 338 204 319 396 291 338 472 309 489 177 461 171 177 490 174 347 163 213 89 474 328 319 
56 198 204 365 552 329 171 0 530 269 469 143 531 57 94 228 474 166 569 199 167 487 142 437 102 342 497 59 167 84 152 468 133 294 458 302 585 349 378 9 33 474 320 176 76 314 256 397 371 160 
563 592 406 482 56 421 469 530 0 280 263 546 3 569 475 529 351 483 136 331 516 63 582 392 589 387 162 589 648 468 652 75 537 309 216 253 124 475 395 538 503 223 581 638 455 259 423 383 159 551 
314 393 129 265 291 198 189 269 280 0 218 265 282 318 245 258 393 291 300 90 320 227 301 249 311 323 309 325 417 232 411 210 323 216 304 158 317 251 353 275 249 321 326 414 203 51 164 358 141 346 
520 612 275 253 229 209 333 469 263 218 0 414 266 524 462 358 542 510 175 308 539 203 453 136 482 513 390 520 628 447 619 201 541 406 419 337 203 252 537 474 456 433 374 629 414 167 252 535 249 564 
193 341 145 245 554 229 82 143 546 265 414 0 547 192 223 91 575 302 549 239 308 491 39 344 78 455 554 153 295 207 271 474 276 383 530 365 571 230 492 139 164 547 178 310 174 293 164 508 400 303 
564 592 408 485 59 424 471 531 3 282 266 547 0 570 475 532 348 483 140 332 515 66 584 395 590 386 159 590 648 469 652 77 537 309 214 253 127 478 393 539 504 220 584 638 456 261 426 381 160 551 
6 152 261 422 595 387 228 57 569 318 524 192 570 0 102 281 477 152 616 241 141 530 182 495 133 340 521 52 110 102 95 511 100 310 478 330 632 405 374 57 69 493 370 119 116 366 314 395 409 122 
96 152 229 410 505 361 222 94 475 245 462 223 475 102 0 295 381 79 534 158 92 440 231 458 196 247 420 141 175 18 177 421 79 208 376 230 546 393 283 103 63 391 390 170 59 296 291 302 316 105 
281 426 129 157 529 155 82 228 529 258 358 91 532 281 295 0 615 374 511 264 385 470 120 268 168 507 565 245 386 278 363 455 358 421 551 389 535 144 543 225 242 568 94 400 239 270 110 556 399 386 
471 405 495 658 406 591 533 474 351 393 542 575 348 477 381 615 0 329 482 352 351 374 596 628 572 139 192 522 498 389 517 364 392 194 134 235 474 644 111 483 441 128 701 477 409 422 548 88 294 387 
146 109 300 484 520 432 299 166 483 291 510 302 483 152 79 374 329 0 560 201 32 458 307 522 269 190 402 201 177 96 191 439 64 185 350 229 569 467 223 174 139 362 469 160 136 343 363 244 330 69 
612 669 404 425 82 375 467 569 136 300 175 549 140 616 534 511 482 560 0 376 592 112 588 311 607 499 297 626 709 523 707 127 605 407 347 341 28 422 513 575 547 356 542 704 500 259 401 504 234 624 
236 304 143 319 354 256 183 199 331 90 308 239 332 241 158 264 352 201 376 0 230 288 269 329 265 257 315 258 333 147 330 270 234 159 291 127 390 303 291 207 173 308 349 329 125 141 201 300 173 257 
137 77 321 503 553 453 314 167 516 320 539 308 515 141 92 385 351 32 592 230 0 490 310 546 268 211 432 193 148 110 166 472 42 216 379 262 601 486 243 174 144 391 480 130 151 372 383 265 362 38 
524 567 349 419 65 358 413 487 63 227 203 491 66 530 440 470 374 458 112 288 490 0 529 329 539 387 196 546 615 432 616 18 508 297 240 233 113 412 400 494 462 250 519 608 414 201 363 391 128 524 
184 334 184 277 591 265 121 142 582 301 453 39 584 182 231 120 596 307 588 269 310 529 0 381 52 472 585 136 277 217 252 511 274 405 558 393 609 263 508 135 168 575 195 295 188 331 203 525 434 300 
493 610 234 129 364 115 274 437 392 249 136 344 395 495 458 268 628 522 311 329 546 329 381 0 420 571 500 478 605 441 589 323 536 464 518 401 339 134 601 439 433 533 258 611 402 208 184 604 339 563 
136 285 207 323 603 305 150 102 589 311 482 78 590 133 196 168 572 269 607 265 268 539 52 420 0 443 577 85 225 185 200 521 230 386 545 383 626 309 479 94 133 562 247 243 164 348 238 497 435 254 
334 268 398 576 437 512 424 342 387 323 513 455 386 340 247 507 139 190 499 257 211 387 472 571 443 0 258 387 359 258 378 372 252 107 196 176 499 560 36 351 309 203 598 338 283 364 458 55 273 248 
515 504 435 562 218 495 490 497 162 309 390 554 159 521 420 565 192 402 297 315 432 196 585 500 577 258 0 554 578 419 589 192 464 217 64 195 286 551 255 506 465 64 636 563 421 316 474 239 171 471 
56 201 248 394 611 365 204 59 589 325 520 153 590 52 141 245 522 201 626 258 193 546 136 478 85 387 554 0 142 136 118 527 152 348 514 360 643 378 422 51 89 530 330 158 135 369 294 442 430 174 
112 100 371 531 680 497 338 167 648 417 628 295 648 110 175 386 498 177 709 333 148 615 277 605 225 359 578 142 0 186 30 597 114 361 527 398 722 515 387 167 173 539 472 25 214 466 424 410 490 111 
96 169 211 392 497 343 204 84 468 232 447 207 469 102 18 278 389 96 523 147 110 432 217 441 185 258 419 136 186 0 184 413 95 211 378 227 537 375 294 93 51 393 372 182 41 283 273 312 309 122 
99 127 356 511 681 480 319 152 652 411 619 271 652 95 177 363 517 191 707 330 166 616 252 589 200 378 589 118 30 184 0 598 127 372 539 405 721 495 408 150 163 553 447 55 207 460 407 430 493 130 
506 549 333 408 84 346 396 468 75 210 201 474 77 511 421 455 364 439 127 270 472 18 511 323 521 372 192 527 597 413 598 0 489 280 231 215 131 401 386 476 443 242 506 589 395 185 349 378 109 506 
96 73 306 484 571 438 291 133 537 323 541 276 537 100 79 358 392 64 605 234 42 508 274 536 230 252 464 152 114 95 127 489 0 246 413 285 617 467 284 139 115 426 451 101 135 374 366 306 381 28 
304 289 303 474 353 409 338 294 309 216 406 383 309 310 208 421 194 185 407 159 216 297 405 464 386 107 217 348 361 211 372 280 246 0 168 70 410 459 137 303 260 183 508 346 222 256 360 143 174 254 
472 448 423 566 272 498 472 458 216 304 419 530 214 478 376 551 134 350 347 291 379 240 558 518 545 196 64 514 527 378 539 231 413 168 0 164 339 553 192 467 426 17 628 510 384 320 468 175 179 417 
324 338 263 423 292 356 309 302 253 158 337 365 253 330 230 389 235 229 341 127 262 233 393 401 383 176 195 360 398 227 405 215 285 70 164 0 346 409 201 311 271 182 471 386 226 192 314 203 106 298 
627 678 425 452 68 401 489 585 124 317 203 571 127 632 546 535 474 569 28 390 601 113 609 339 626 499 286 643 722 537 721 131 617 410 339 346 0 449 511 592 563 346 568 716 515 279 425 500 240 634 
404 539 168 17 460 56 177 349 475 251 252 230 478 405 393 144 644 467 422 303 486 412 263 134 309 560 551 378 515 375 495 401 467 459 553 409 449 0 594 348 354 570 124 525 334 235 105 602 379 495 
369 294 433 610 447 545 461 378 395 353 537 492 393 374 283 543 111 223 513 291 243 400 508 601 479 36 255 422 387 294 408 386 284 137 192 201 511 594 0 387 346 195 634 366 320 393 492 23 293 278 
56 202 206 365 560 330 171 9 538 275 474 139 539 57 103 225 483 174 575 207 174 494 135 439 94 351 506 51 167 93 150 476 139 303 467 311 592 348 387 0 42 483 316 177 85 320 257 406 379 165 
65 186 199 370 527 329 177 33 503 249 456 164 504 69 63 242 441 139 547 173 144 462 168 433 133 309 465 89 173 51 163 443 115 260 426 271 563 354 346 42 0 441 336 177 47 296 256 364 344 143 
487 459 440 583 278 515 490 474 223 321 433 547 220 493 391 568 128 362 356 308 391 250 575 533 562 203 64 530 539 393 553 242 426 183 17 182 346 570 195 483 441 0 646 522 400 337 485 177 195 430 
370 518 207 128 572 167 174 320 581 326 374 178 584 370 390 94 701 469 542 349 480 519 195 258 247 598 636 330 472 372 447 506 451 508 628 471 568 124 634 316 336 646 0 487 333 326 162 646 466 479 
120 75 376 542 672 505 347 176 638 414 629 310 638 119 170 400 477 160 704 329 130 608 295 611 243 338 563 158 25 182 55 589 101 346 510 386 716 525 366 177 177 522 487 0 214 465 432 389 481 92 
111 208 171 351 479 303 163 76 455 203 414 174 456 116 59 239 409 136 500 125 151 414 188 402 164 283 421 135 214 41 207 395 135 222 384 226 515 334 320 85 47 400 333 214 0 252 232 337 296 162 
362 445 149 246 261 179 213 314 259 51 167 293 261 366 296 270 422 343 259 141 372 201 331 208 348 364 316 369 466 283 460 185 374 256 320 192 279 235 393 320 296 337 326 465 252 0 165 396 144 398 
312 439 63 121 420 73 89 256 423 164 252 164 426 314 291 110 548 363 401 201 383 363 203 184 238 458 474 294 424 273 407 349 366 360 468 314 425 105 492 257 256 485 162 432 232 165 0 502 303 394 
389 317 443 617 435 552 474 397 383 358 535 508 381 395 302 556 88 244 504 300 265 391 525 604 497 55 239 442 410 312 430 378 306 143 175 203 500 602 23 406 364 177 646 389 337 396 502 0 289 300 
404 440 270 391 190 324 328 371 159 141 249 400 160 409 316 399 294 330 234 173 362 128 434 339 435 273 171 430 490 309 493 109 381 174 179 106 240 379 293 379 344 195 466 481 296 144 303 289 0 397 
119 47 333 512 587 465 319 160 551 346 564 303 551 122 105 386 387 69 624 257 38 524 300 563 254 248 471 174 111 122 130 506 28 254 417 298 634 495 278 165 143 430 479 92 162 398 394 300 397 0 
