20
30
9 6 11 8 11 5 14 14 9 13 14 9 12 10 14 11 10 12 5 
0 277 141 360 288 381 227 423 370 329 180 84 170 220 348 188 169 159 189 366 
277 0 382 475 141 646 501 227 252 596 457 294 163 139 611 195 335 135 338 522 
141 382 0 253 342 265 141 466 385 217 124 88 231 279 230 329 95 287 312 240 
360 475 253 0 361 378 351 429 323 355 362 276 319 336 351 518 190 447 548 75 
288 141 342 361 0 604 479 134 114 557 446 262 119 68 569 296 266 213 416 419 
381 646 265 378 604 0 159 721 629 51 211 353 497 543 35 560 339 539 485 314 
227 501 141 351 479 159 0 606 526 108 53 217 364 414 130 402 234 386 330 310 
423 227 466 429 134 721 606 0 106 677 576 392 253 202 686 413 382 336 544 497 
370 252 385 323 114 629 526 106 0 588 503 321 204 163 595 408 294 323 519 392 
329 596 217 355 557 51 108 677 588 0 161 303 448 496 23 509 295 488 436 297 
180 457 124 362 446 211 53 576 503 161 0 184 329 379 183 350 220 338 278 332 
84 294 88 276 262 353 217 392 321 303 184 0 147 196 318 256 85 204 273 286 
170 163 231 319 119 497 364 253 204 448 329 147 0 51 462 225 172 141 317 360 
220 139 279 336 68 543 414 202 163 496 379 196 51 0 508 248 212 162 356 385 
348 611 230 351 569 35 130 686 595 23 183 318 462 508 0 529 304 506 459 289 
188 195 329 518 296 560 402 413 408 509 350 256 225 248 529 0 335 85 148 540 
169 335 95 190 266 339 234 382 294 295 220 85 172 212 304 335 0 272 358 205 
159 135 287 447 213 539 386 336 323 488 338 204 141 162 506 85 272 0 209 476 
189 338 312 548 416 485 330 544 519 436 278 273 317 356 459 148 358 209 0 550 
366 522 240 75 419 314 310 497 392 297 332 286 360 385 289 540 205 476 550 0 
