40
30
11 8 14 12 8 11 13 11 6 8 7 5 13 10 6 14 11 13 14 5 8 5 8 5 5 10 13 13 5 7 11 11 10 12 9 5 10 9 11 
0 259 521 520 429 513 227 415 187 530 252 246 193 375 293 140 52 459 93 430 538 183 460 562 364 487 584 147 139 387 538 639 303 419 366 537 478 280 471 296 
259 0 295 261 333 254 126 156 183 479 122 56 207 236 84 291 212 257 175 228 342 93 202 302 248 274 443 138 245 141 328 385 258 192 161 295 433 100 211 160 
521 295 0 220 257 216 297 224 357 383 404 280 367 195 340 483 486 77 428 394 87 388 230 205 226 46 238 431 437 284 53 170 311 104 362 57 366 367 194 237 
520 261 220 0 437 8 349 105 418 582 310 290 438 344 244 542 471 260 436 211 307 343 62 50 373 245 457 386 493 147 274 171 436 204 214 170 553 268 54 328 
429 333 257 437 0 430 233 382 243 150 452 281 235 101 414 328 418 185 351 535 200 389 415 441 84 212 162 415 298 420 226 427 127 233 478 310 115 433 390 174 
513 254 216 8 430 0 341 98 410 575 304 282 430 337 238 534 464 254 428 209 302 336 55 54 366 240 452 379 485 141 269 173 428 197 210 167 546 262 46 320 
227 126 297 349 233 341 0 253 69 368 229 71 89 155 209 196 200 232 135 354 311 157 299 379 153 260 372 182 148 258 310 432 135 199 287 320 319 220 295 70 
415 156 224 105 382 98 253 0 321 532 213 188 342 282 145 441 366 230 331 170 301 238 47 149 307 229 439 282 392 62 273 250 356 159 141 195 496 171 59 244 
187 183 357 418 243 410 69 321 0 358 265 134 23 190 260 128 175 287 109 410 359 183 367 449 176 316 396 193 81 322 364 499 121 263 341 384 307 266 364 120 
530 479 383 582 150 575 368 532 358 0 595 425 344 252 562 406 531 323 467 686 308 526 564 581 232 344 189 546 391 571 341 548 238 380 628 440 52 579 538 319 
252 122 404 310 452 304 229 213 265 595 0 171 288 358 68 338 199 375 202 178 460 85 248 358 368 390 566 105 300 163 443 463 365 307 117 393 547 41 273 278 
246 56 280 290 281 282 71 188 134 425 171 0 156 188 140 252 206 229 154 283 314 117 236 325 196 252 401 155 203 188 305 393 202 176 216 291 378 155 236 106 
193 207 367 438 235 430 89 342 23 344 288 156 0 192 284 115 187 295 123 433 365 205 389 467 175 326 392 213 71 344 371 514 110 277 365 398 291 290 384 130 
375 236 195 344 101 337 155 282 190 252 358 188 192 0 315 304 354 118 287 433 174 302 317 355 31 149 217 334 263 319 185 361 116 141 376 240 214 335 295 86 
293 84 340 244 414 238 209 145 260 562 68 140 284 315 0 355 240 317 225 150 400 110 182 292 330 328 515 148 312 99 381 395 342 246 82 326 517 27 205 243 
140 291 483 542 328 534 196 441 128 406 338 252 115 304 355 0 167 411 136 505 478 254 488 575 283 441 490 240 49 432 486 628 203 392 436 513 354 353 488 246 
52 212 486 471 418 464 200 366 175 531 199 206 187 354 240 167 0 428 67 377 509 131 410 514 346 453 568 95 150 336 506 596 296 382 313 497 479 227 423 270 
459 257 77 260 185 254 232 230 287 323 375 229 295 118 317 411 428 0 366 399 85 344 251 258 148 31 208 384 366 284 78 245 234 73 356 126 299 343 220 166 
93 175 428 436 351 428 135 331 109 467 202 154 123 287 225 136 67 366 0 372 446 119 377 475 279 393 501 104 103 311 445 548 230 325 305 443 415 219 385 205 
430 228 394 211 535 209 354 170 410 686 178 283 433 433 150 505 377 399 372 0 471 254 168 259 454 399 607 282 462 116 444 382 482 326 68 358 645 153 205 375 
538 342 87 307 200 302 311 301 359 308 460 314 365 174 400 478 509 85 446 471 0 429 313 292 198 72 151 469 436 358 35 240 286 154 434 142 298 426 278 242 
183 93 388 343 389 336 157 238 183 526 85 117 205 302 110 254 131 344 119 254 429 0 281 387 306 364 517 45 215 204 418 477 290 284 187 389 476 101 296 217 
460 202 230 62 415 55 299 47 367 564 248 236 389 317 182 488 410 251 377 168 313 281 0 110 344 244 458 324 440 86 282 222 398 185 158 190 531 206 37 287 
562 302 205 50 441 54 379 149 449 581 358 325 467 355 292 575 514 258 475 259 292 387 110 0 385 238 444 431 526 196 257 124 455 214 264 149 556 317 91 350 
364 248 226 373 84 366 153 307 176 232 368 196 175 31 330 283 346 148 279 454 198 306 344 385 0 179 221 335 245 341 213 392 88 171 395 271 191 348 323 90 
