30
30
10 5 8 11 6 12 5 7 12 9 6 14 5 6 14 14 10 11 9 5 7 13 10 9 12 6 5 5 14 
0 301 298 297 226 417 451 107 264 193 87 500 322 152 284 201 517 520 410 448 484 277 380 461 105 527 247 229 183 78 
301 0 389 61 247 412 529 387 124 115 385 338 409 287 35 423 501 523 145 224 623 223 520 612 197 595 101 92 343 242 
298 389 0 431 142 143 157 256 268 359 297 331 24 152 401 167 230 227 394 366 233 177 133 224 313 232 287 388 117 342 
297 61 431 0 289 466 576 393 176 103 384 398 452 313 31 444 557 578 199 283 664 274 559 651 192 645 148 67 371 228 
226 247 142 289 0 204 290 240 129 224 267 283 163 91 259 214 305 317 271 267 375 62 273 365 197 361 145 249 124 240 
417 412 143 466 204 0 148 393 289 421 432 226 131 264 435 310 101 114 365 306 275 193 217 282 402 194 318 441 250 443 
451 529 157 576 290 148 0 391 405 512 436 373 133 308 546 284 158 131 505 452 129 306 111 142 470 76 429 539 267 498 
107 387 256 393 240 393 391 0 322 290 45 523 276 149 376 113 486 482 476 497 401 301 304 375 202 465 315 327 142 185 
264 124 268 176 129 289 405 322 0 151 334 259 287 191 145 329 382 402 155 184 501 99 401 492 182 471 31 160 242 236 
193 115 359 103 224 421 512 290 151 0 281 408 382 225 92 348 520 536 250 315 586 231 480 571 89 585 120 37 282 128 
87 385 297 384 267 432 436 45 334 281 0 550 318 178 370 158 527 525 486 514 446 326 349 419 192 510 323 317 182 164 
500 338 331 398 283 226 373 523 259 408 550 0 332 374 371 478 253 287 220 130 501 224 438 508 437 405 288 409 394 489 
322 409 24 452 163 131 133 276 287 382 318 332 0 176 422 182 213 207 408 375 214 193 118 206 337 208 307 410 139 366 
152 287 152 313 91 264 308 149 191 225 178 374 176 0 288 138 364 368 345 353 365 152 258 347 164 384 194 258 57 190 
284 35 401 31 259 435 546 376 145 92 370 371 422 288 0 421 526 547 180 259 635 243 531 622 179 614 117 61 346 220 
201 423 167 444 214 310 284 113 329 348 158 478 182 138 421 0 395 386 481 481 288 275 191 263 270 356 333 384 90 272 
517 501 230 557 305 101 158 486 382 520 527 253 213 364 526 395 0 35 434 362 282 289 261 298 503 160 412 538 345 544 
520 523 227 578 317 114 131 482 402 536 525 287 207 368 547 386 35 0 463 393 250 307 239 269 514 125 431 556 344 552 
410 145 394 199 271 365 505 476 155 250 486 220 408 345 180 481 434 463 0 91 618 218 527 614 316 559 163 235 392 367 
448 224 366 283 267 306 452 497 184 315 514 130 375 353 259 481 362 393 91 0 574 206 492 574 365 499 206 307 391 419 
484 623 233 664 375 275 129 401 501 586 446 501 214 365 635 288 282 250 618 574 0 407 107 30 528 137 521 618 311 546 
277 223 177 274 62 193 306 301 99 231 326 224 193 152 243 275 289 307 218 206 407 0 311 400 228 372 125 249 185 277 
380 520 133 559 273 217 111 304 401 480 349 438 118 258 531 191 261 239 527 492 107 311 0 91 421 171 419 512 204 440 
461 612 224 651 365 282 142 375 492 571 419 508 206 347 622 263 298 269 614 574 30 400 91 0 510 162 510 603 292 524 
105 197 313 192 197 402 470 202 182 89 192 437 337 164 179 270 503 514 316 365 528 228 421 510 0 545 159 125 217 53 
527 595 232 645 361 194 76 465 471 585 510 405 208 384 614 356 160 125 559 499 137 372 171 162 545 0 496 611 343 574 
247 101 287 148 145 318 429 315 31 120 323 288 307 194 117 333 412 431 163 206 521 125 419 510 159 496 0 128 248 212 
229 92 388 67 249 441 539 327 160 37 317 409 410 258 61 384 538 556 235 307 618 249 512 603 125 611 128 0 316 161 
183 343 117 371 124 250 267 142 242 282 182 394 139 57 346 90 345 344 392 391 311 185 204 292 217 343 248 316 0 235 
78 242 342 228 240 443 498 185 236 128 164 489 366 190 220 272 544 552 367 419 546 277 440 524 53 574 212 161 235 0 
