25
30
13 8 9 8 8 6 6 13 6 5 12 8 9 12 10 10 5 11 8 8 11 12 10 10 
0 379 315 113 269 519 272 270 135 126 245 501 425 399 185 60 390 139 425 220 289 182 250 421 310 
379 0 114 400 559 140 226 341 483 478 214 121 164 112 421 414 60 379 448 195 164 327 340 90 138 
315 114 0 309 538 226 259 227 437 393 104 213 265 213 406 337 86 356 498 197 206 322 356 201 24 
113 400 309 0 371 532 353 182 229 89 213 516 484 448 298 68 393 252 533 287 354 287 356 461 295 
269 559 538 371 0 695 355 539 143 328 497 674 524 525 138 303 593 182 330 364 410 233 248 561 541 
519 140 226 532 695 0 348 444 623 613 329 21 221 188 557 552 140 517 543 331 288 461 464 147 245 
272 226 259 353 355 348 0 405 319 397 289 327 172 170 220 328 275 195 238 77 62 127 116 207 276 
270 341 227 182 539 444 405 0 402 265 131 434 476 428 440 246 308 387 628 327 376 394 455 424 204 
135 483 437 229 143 623 319 402 0 187 378 604 490 477 128 161 504 125 391 297 358 194 246 506 435 
126 478 393 89 328 613 397 265 187 0 301 597 545 514 289 69 476 254 544 341 410 306 374 531 381 
245 214 104 213 497 329 289 131 378 301 0 317 346 297 377 253 190 323 523 213 252 309 360 294 84 
501 121 213 516 674 21 327 434 604 597 317 0 202 167 536 535 127 497 523 311 267 441 443 126 233 
425 164 265 484 524 221 172 476 490 545 346 202 0 52 392 476 224 367 323 204 136 300 277 83 289 
399 112 213 448 525 188 170 428 477 514 297 167 52 0 389 446 172 358 356 181 118 294 284 41 237 
185 421 406 298 138 557 220 440 128 289 377 536 392 389 0 238 456 54 263 226 272 95 124 424 411 
60 414 337 68 303 552 328 246 161 69 253 535 476 446 238 0 417 197 485 272 341 242 311 464 327 
390 60 86 393 593 140 275 308 504 476 190 127 224 172 456 417 0 410 504 232 214 365 386 146 106 
139 379 356 252 182 517 195 387 125 254 323 497 367 358 54 197 410 0 290 186 239 69 125 390 360 
425 448 498 533 330 543 238 628 391 544 523 523 323 356 263 485 504 290 0 310 293 246 177 396 515 
220 195 197 287 364 331 77 327 297 341 213 311 204 181 226 272 232 186 310 0 69 133 159 208 210 
289 164 206 354 410 288 62 376 358 410 252 267 136 118 272 341 214 239 293 69 0 177 177 151 225 
182 327 322 287 233 461 127 394 194 306 309 441 300 294 95 242 365 69 246 133 177 0 69 329 330 
250 340 356 356 248 464 116 455 246 374 360 443 277 284 124 311 386 125 177 159 177 69 0 323 369 
421 90 201 461 561 147 207 424 506 531 294 126 83 41 424 464 146 390 396 208 151 329 323 0 226 
310 138 24 295 541 245 276 204 435 381 84 233 289 237 411 327 106 360 515 210 225 330 369 226 0 
